id,sleep_date,total_minutes_asleep_sum
2026352035,2016-03-25,562
2026352035,2016-03-26,664
2026352035,2016-03-27,620
2026352035,2016-03-28,569
2026352035,2016-03-29,568
2026352035,2016-03-30,575
2026352035,2016-03-31,587
2026352035,2016-04-01,575
2026352035,2016-04-02,630
2026352035,2016-04-03,687
2026352035,2016-04-04,577
2026352035,2016-04-05,618
2026352035,2016-04-06,573
2026352035,2016-04-07,662
2026352035,2016-04-08,579
2026352035,2016-04-09,625
2026352035,2016-04-10,608
2026352035,2016-04-11,624
2026352035,2016-04-12,367
2347167796,2016-03-11,22
2347167796,2016-03-12,532
2347167796,2016-03-13,669
2347167796,2016-03-14,510
2347167796,2016-03-15,636
2347167796,2016-03-16,511
2347167796,2016-03-17,446
2347167796,2016-03-18,682
2347167796,2016-03-19,275
2347167796,2016-03-20,651
2347167796,2016-03-21,522
2347167796,2016-03-22,565
2347167796,2016-03-23,545
2347167796,2016-03-24,554
2347167796,2016-03-25,387
2347167796,2016-03-27,183
2347167796,2016-03-28,609
2347167796,2016-03-29,527
2347167796,2016-03-30,563
2347167796,2016-03-31,643
2347167796,2016-04-01,410
2347167796,2016-04-02,519
2347167796,2016-04-03,686
2347167796,2016-04-04,584
2347167796,2016-04-05,510
2347167796,2016-04-06,483
2347167796,2016-04-07,86
2347167796,2016-04-08,430
2347167796,2016-04-09,25
2347167796,2016-04-10,727
2347167796,2016-04-11,448
3977333714,2016-03-13,651
3977333714,2016-03-14,540
3977333714,2016-03-15,517
3977333714,2016-03-16,435
3977333714,2016-03-17,610
3977333714,2016-04-01,565
3977333714,2016-04-02,383
3977333714,2016-04-03,504
3977333714,2016-04-04,544
3977333714,2016-04-05,596
3977333714,2016-04-06,556
3977333714,2016-04-07,598
3977333714,2016-04-08,657
3977333714,2016-04-09,567
3977333714,2016-04-10,611
3977333714,2016-04-11,555
4020332650,2016-03-12,484
4020332650,2016-03-13,569
4020332650,2016-03-14,316
4020332650,2016-03-15,356
4020332650,2016-03-16,532
4020332650,2016-03-17,442
4020332650,2016-03-30,410
4020332650,2016-03-31,281
4020332650,2016-04-01,474
4020332650,2016-04-02,518
4020332650,2016-04-03,418
4020332650,2016-04-04,496
4020332650,2016-04-06,276
4020332650,2016-04-10,74
4020332650,2016-04-11,455
4319703577,2016-03-11,109
4319703577,2016-03-12,534
4319703577,2016-03-13,388
4319703577,2016-03-14,108
4319703577,2016-03-15,523
4319703577,2016-03-16,568
4319703577,2016-03-17,563
4319703577,2016-03-18,526
4319703577,2016-03-19,544
4319703577,2016-03-20,535
4319703577,2016-03-21,508
4319703577,2016-03-22,65
4319703577,2016-03-23,531
4319703577,2016-03-24,447
4319703577,2016-03-25,601
4319703577,2016-03-26,546
4319703577,2016-03-27,651
4319703577,2016-03-28,555
4319703577,2016-03-29,590
4319703577,2016-03-30,504
4319703577,2016-03-31,57
4319703577,2016-04-01,502
4319703577,2016-04-02,557
4319703577,2016-04-03,598
4319703577,2016-04-04,544
4319703577,2016-04-05,502
4319703577,2016-04-06,545
4319703577,2016-04-07,467
4445114986,2016-03-12,407
4445114986,2016-03-13,358
4445114986,2016-03-15,645
4445114986,2016-03-16,457
4445114986,2016-03-17,245
4445114986,2016-03-19,178
4445114986,2016-03-20,568
4445114986,2016-03-21,227
4445114986,2016-03-22,381
4445114986,2016-03-24,433
4445114986,2016-03-25,371
4445114986,2016-03-26,176
4445114986,2016-03-27,332
4445114986,2016-03-28,399
4445114986,2016-03-29,526
4445114986,2016-03-31,479
4445114986,2016-04-01,366
4445114986,2016-04-02,523
4445114986,2016-04-05,534
4445114986,2016-04-06,472
4445114986,2016-04-07,277
4445114986,2016-04-08,251
4445114986,2016-04-09,500
4445114986,2016-04-10,396
4445114986,2016-04-11,466
4445114986,2016-04-12,362
4558609924,2016-03-30,106
4558609924,2016-03-31,192
4558609924,2016-04-02,88
4558609924,2016-04-03,280
4702921684,2016-03-11,131
4702921684,2016-03-12,504
4702921684,2016-03-13,295
4702921684,2016-03-14,478
4702921684,2016-03-15,481
4702921684,2016-03-16,516
4702921684,2016-03-17,485
4702921684,2016-03-18,383
4702921684,2016-03-21,105
4702921684,2016-03-22,491
4702921684,2016-03-23,504
4702921684,2016-03-24,496
4702921684,2016-03-25,519
4702921684,2016-03-26,432
4702921684,2016-03-27,634
4702921684,2016-03-28,433
4702921684,2016-03-29,450
4702921684,2016-03-30,501
4702921684,2016-03-31,430
4702921684,2016-04-01,501
4702921684,2016-04-02,595
4702921684,2016-04-03,614
4702921684,2016-04-04,469
4702921684,2016-04-05,479
4702921684,2016-04-06,506
4702921684,2016-04-07,472
4702921684,2016-04-08,395
4702921684,2016-04-09,803
4702921684,2016-04-10,581
4702921684,2016-04-11,339
5553957443,2016-03-12,817
5553957443,2016-03-13,918
5553957443,2016-03-14,354
5553957443,2016-03-15,490
5553957443,2016-03-16,416
5553957443,2016-03-17,364
5553957443,2016-03-18,130
5553957443,2016-03-21,169
5553957443,2016-03-22,628
5553957443,2016-03-23,352
5553957443,2016-03-24,480
5553957443,2016-03-25,749
5553957443,2016-03-26,407
5553957443,2016-03-27,858
5553957443,2016-03-28,771
5553957443,2016-03-29,405
5553957443,2016-03-30,459
5553957443,2016-03-31,444
5553957443,2016-04-01,384
5553957443,2016-04-02,1023
5553957443,2016-04-03,947
5553957443,2016-04-04,495
5553957443,2016-04-05,432
5553957443,2016-04-06,426
5553957443,2016-04-07,416
5553957443,2016-04-08,458
5553957443,2016-04-09,761
5553957443,2016-04-10,802
5553957443,2016-04-11,492
5553957443,2016-04-12,384
5577150313,2016-03-11,166
5577150313,2016-03-12,609
5577150313,2016-03-13,472
5577150313,2016-03-14,382
5577150313,2016-03-15,544
5577150313,2016-03-16,489
5577150313,2016-03-17,486
5577150313,2016-03-18,458
5577150313,2016-03-19,399
5577150313,2016-03-20,695
5577150313,2016-03-21,448
5577150313,2016-03-22,123
5577150313,2016-03-23,617
5577150313,2016-03-24,442
5577150313,2016-03-25,452
5577150313,2016-03-26,507
5577150313,2016-03-27,363
5577150313,2016-03-28,557
5577150313,2016-03-29,509
5577150313,2016-03-30,468
5577150313,2016-03-31,488
5577150313,2016-04-01,460
5577150313,2016-04-02,420
5577150313,2016-04-03,447
5577150313,2016-04-04,488
5577150313,2016-04-05,443
5577150313,2016-04-06,453
5577150313,2016-04-07,544
5577150313,2016-04-08,471
5577150313,2016-04-09,535
5577150313,2016-04-10,476
5577150313,2016-04-11,358
6117666160,2016-03-11,78
6117666160,2016-03-12,697
6117666160,2016-03-13,123
6117666160,2016-03-14,717
6117666160,2016-03-15,522
6117666160,2016-03-16,711
6117666160,2016-03-17,670
6117666160,2016-03-18,715
6117666160,2016-03-19,684
6117666160,2016-03-20,568
6117666160,2016-03-21,525
6117666160,2016-03-22,434
6117666160,2016-03-23,612
6117666160,2016-03-24,931
6117666160,2016-03-25,536
6117666160,2016-03-26,504
6117666160,2016-03-27,534
6117666160,2016-03-28,45
6117666160,2016-03-29,592
6117666160,2016-03-30,111
6117666160,2016-03-31,629
6117666160,2016-04-01,625
6117666160,2016-04-02,478
6117666160,2016-04-05,73
6117666160,2016-04-06,606
6117666160,2016-04-07,529
6117666160,2016-04-09,502
6775888955,2016-03-11,84
6775888955,2016-03-12,456
6775888955,2016-03-13,42
6775888955,2016-03-14,709
6775888955,2016-03-15,125
6775888955,2016-03-18,323
6775888955,2016-03-19,419
6775888955,2016-03-21,456
6775888955,2016-03-25,118
6775888955,2016-03-26,386
6775888955,2016-03-27,454
6775888955,2016-03-28,558
6775888955,2016-03-31,329
6775888955,2016-04-01,16
6775888955,2016-04-02,481
6775888955,2016-04-06,495
6775888955,2016-04-07,309
6962181067,2016-03-11,39
6962181067,2016-03-12,544
6962181067,2016-03-13,514
6962181067,2016-03-14,494
6962181067,2016-03-15,426
6962181067,2016-03-16,379
6962181067,2016-03-17,409
6962181067,2016-03-18,492
6962181067,2016-03-19,511
6962181067,2016-03-20,485
6962181067,2016-03-21,441
6962181067,2016-03-22,568
6962181067,2016-03-23,573
6962181067,2016-03-24,489
6962181067,2016-03-25,556
6962181067,2016-03-26,500
6962181067,2016-03-27,591
6962181067,2016-03-28,564
6962181067,2016-03-29,401
6962181067,2016-03-30,447
6962181067,2016-03-31,551
6962181067,2016-04-01,537
6962181067,2016-04-02,432
6962181067,2016-04-03,604
6962181067,2016-04-04,439
6962181067,2016-04-05,462
6962181067,2016-04-06,532
6962181067,2016-04-07,437
6962181067,2016-04-08,404
6962181067,2016-04-09,480
6962181067,2016-04-10,444
6962181067,2016-04-11,419
6962181067,2016-04-12,411
7007744171,2016-03-14,89
7007744171,2016-03-24,72
7007744171,2016-03-26,72
7007744171,2016-03-30,65
7007744171,2016-04-02,84
7007744171,2016-04-03,76
7007744171,2016-04-05,74
7007744171,2016-04-07,69
7086361926,2016-03-12,578
7086361926,2016-03-13,27
7086361926,2016-03-14,443
7086361926,2016-03-15,408
7086361926,2016-03-16,421
7086361926,2016-03-17,435
7086361926,2016-03-20,472
7086361926,2016-03-21,550
7086361926,2016-03-23,484
7086361926,2016-03-25,297
7086361926,2016-03-26,349
7086361926,2016-03-27,71
7086361926,2016-03-28,250
7086361926,2016-03-29,580
7086361926,2016-03-30,710
7086361926,2016-03-31,697
7086361926,2016-04-01,475
7086361926,2016-04-02,580
7086361926,2016-04-05,93
7086361926,2016-04-06,485
7086361926,2016-04-07,521
7086361926,2016-04-08,421
7086361926,2016-04-09,512
7086361926,2016-04-10,54
7086361926,2016-04-11,513
7086361926,2016-04-12,424
8053475328,2016-03-29,506
8378563200,2016-03-11,114
8378563200,2016-03-12,779
8378563200,2016-03-13,601
8378563200,2016-03-14,403
8378563200,2016-03-15,407
8378563200,2016-03-16,429
8378563200,2016-03-17,457
8378563200,2016-03-18,642
8378563200,2016-03-19,544
8378563200,2016-03-20,505
8378563200,2016-03-21,470
8378563200,2016-03-22,519
8378563200,2016-03-23,414
8378563200,2016-03-24,490
8378563200,2016-03-25,285
8378563200,2016-03-26,758
8378563200,2016-03-27,624
8378563200,2016-03-28,478
8378563200,2016-03-29,387
8378563200,2016-03-30,663
8378563200,2016-03-31,494
8378563200,2016-04-01,460
8378563200,2016-04-02,703
8378563200,2016-04-03,592
8378563200,2016-04-04,465
8378563200,2016-04-05,464
8378563200,2016-04-06,443
8378563200,2016-04-07,540
8378563200,2016-04-08,344
8378563200,2016-04-09,574
8378563200,2016-04-10,626
8378563200,2016-04-11,385
8378563200,2016-04-12,265
8792009665,2016-03-27,454
8792009665,2016-03-28,428
8792009665,2016-03-29,217
8792009665,2016-03-30,478
8792009665,2016-04-01,534
8792009665,2016-04-03,564
8792009665,2016-04-04,630
8792009665,2016-04-05,455
8792009665,2016-04-06,507
8792009665,2016-04-07,510
8792009665,2016-04-08,478
8792009665,2016-04-09,678
