id,sleep_date,total_minutes_asleep_method1,total_minutes_asleep_sum
4702921684,2016-04-09,425,803
4702921684,2016-04-10,533,581
4702921684,2016-04-11,329,339
5553957443,2016-03-12,707,817
5553957443,2016-03-13,756,918
5553957443,2016-03-14,273,354
5553957443,2016-03-15,378,490
5553957443,2016-03-16,319,416
5553957443,2016-03-17,311,364
5553957443,2016-03-18,105,130
5553957443,2016-03-21,144,169
5553957443,2016-03-22,526,628
5553957443,2016-03-23,249,352
5553957443,2016-03-24,364,480
5553957443,2016-03-25,607,749
5553957443,2016-03-26,348,407
5553957443,2016-03-27,665,858
5553957443,2016-03-28,613,771
5553957443,2016-03-29,314,405
5553957443,2016-03-30,360,459
5553957443,2016-03-31,351,444
5553957443,2016-04-01,337,384
5553957443,2016-04-02,791,1023
5553957443,2016-04-03,742,947
5553957443,2016-04-04,413,495
5553957443,2016-04-05,340,432
5553957443,2016-04-06,385,426
5553957443,2016-04-07,338,416
5553957443,2016-04-08,379,458
5553957443,2016-04-09,619,761
5553957443,2016-04-10,629,802
5553957443,2016-04-11,428,492
5553957443,2016-04-12,346,384
5577150313,2016-03-11,156,166
5577150313,2016-03-12,523,609
5577150313,2016-03-13,419,472
5577150313,2016-03-14,364,382
5577150313,2016-03-15,470,544
5577150313,2016-03-16,446,489
5577150313,2016-03-17,432,486
5577150313,2016-03-18,421,458
5577150313,2016-03-19,366,399
5577150313,2016-03-20,619,695
5577150313,2016-03-21,387,448
5577150313,2016-03-22,99,123
5577150313,2016-03-23,511,617
5577150313,2016-03-24,390,442
5577150313,2016-03-25,430,452
5577150313,2016-03-26,438,507
5577150313,2016-03-27,330,363
5577150313,2016-03-28,484,557
5577150313,2016-03-29,451,509
5577150313,2016-03-30,432,468
5577150313,2016-03-31,426,488
5577150313,2016-04-01,435,460
5577150313,2016-04-02,355,420
5577150313,2016-04-03,389,447
5577150313,2016-04-04,435,488
5577150313,2016-04-05,390,443
5577150313,2016-04-06,393,453
5577150313,2016-04-07,454,544
5577150313,2016-04-08,451,471
5577150313,2016-04-09,499,535
5577150313,2016-04-10,412,476
5577150313,2016-04-11,312,358
6117666160,2016-03-11,78,78
6117666160,2016-03-12,644,697
6117666160,2016-03-13,117,123
6117666160,2016-03-14,626,717
6117666160,2016-03-15,482,522
6117666160,2016-03-16,606,711
6117666160,2016-03-17,638,670
6117666160,2016-03-18,598,715
6117666160,2016-03-19,611,684
6117666160,2016-03-20,535,568
6117666160,2016-03-21,493,525
6117666160,2016-03-22,376,434
6117666160,2016-03-23,484,612
6117666160,2016-03-24,699,931
6117666160,2016-03-25,510,536
6117666160,2016-03-26,436,504
6117666160,2016-03-27,496,534
6117666160,2016-03-28,21,45
6117666160,2016-03-29,556,592
6117666160,2016-03-30,101,111
6117666160,2016-03-31,589,629
6117666160,2016-04-01,558,625
6117666160,2016-04-02,454,478
6117666160,2016-04-05,61,73
6117666160,2016-04-06,523,606
6117666160,2016-04-07,499,529
6117666160,2016-04-09,435,502
6775888955,2016-03-11,66,84
6775888955,2016-03-12,421,456
6775888955,2016-03-13,37,42
6775888955,2016-03-14,590,709
6775888955,2016-03-15,119,125
6775888955,2016-03-18,278,323
6775888955,2016-03-19,387,419
6775888955,2016-03-21,364,456
6775888955,2016-03-25,36,118
6775888955,2016-03-26,332,386
6775888955,2016-03-27,363,454
6775888955,2016-03-28,454,558
6775888955,2016-03-31,290,329
6775888955,2016-04-01,10,16
6775888955,2016-04-02,429,481
6775888955,2016-04-06,441,495
6775888955,2016-04-07,275,309
6962181067,2016-03-11,23,39
6962181067,2016-03-12,522,544
6962181067,2016-03-13,483,514
6962181067,2016-03-14,431,494
6962181067,2016-03-15,360,426
6962181067,2016-03-16,329,379
6962181067,2016-03-17,381,409
6962181067,2016-03-18,421,492
6962181067,2016-03-19,487,511
6962181067,2016-03-20,449,485
6962181067,2016-03-21,427,441
6962181067,2016-03-22,537,568
6962181067,2016-03-23,563,573
6962181067,2016-03-24,461,489
6962181067,2016-03-25,503,556
6962181067,2016-03-26,476,500
6962181067,2016-03-27,516,591
6962181067,2016-03-28,515,564
6962181067,2016-03-29,397,401
6962181067,2016-03-30,418,447
6962181067,2016-03-31,509,551
6962181067,2016-04-01,527,537
6962181067,2016-04-02,399,432
6962181067,2016-04-03,537,604
6962181067,2016-04-04,363,439
6962181067,2016-04-05,358,462
6962181067,2016-04-06,474,532
6962181067,2016-04-07,423,437
6962181067,2016-04-08,402,404
6962181067,2016-04-09,434,480
6962181067,2016-04-10,414,444
6962181067,2016-04-11,393,419
6962181067,2016-04-12,366,411
7007744171,2016-03-14,87,89
7007744171,2016-03-24,62,72
7007744171,2016-03-26,57,72
7007744171,2016-03-30,63,65
7007744171,2016-04-02,56,84
7007744171,2016-04-03,70,76
7007744171,2016-04-05,66,74
7007744171,2016-04-07,63,69
7086361926,2016-03-12,557,578
7086361926,2016-03-13,20,27
7086361926,2016-03-14,414,443
7086361926,2016-03-15,392,408
7086361926,2016-03-16,404,421
7086361926,2016-03-17,396,435
7086361926,2016-03-20,460,472
7086361926,2016-03-21,521,550
7086361926,2016-03-23,440,484
7086361926,2016-03-25,281,297
